Date,S,I,R,D,p_SI,p_IR,p_ID
2022-05-23,259132756,2890,5893340,156534,6.714704952236914e-07,0.3214532871972318,0.004152249134948097
2022-05-24,259132411,2933,5893628,156548,1.3313656854757547e-06,0.09819297647459939,0.00477326968973747
2022-05-25,259132096,3011,5893860,156553,1.2155962339763578e-06,0.07705081368316175,0.0016605778811026237
2022-05-26,259131850,3011,5894103,156556,9.493236744151674e-07,0.08070408502158752,0.0009963467286615742
2022-05-27,259131626,2949,5894380,156565,8.644255564544638e-07,0.09393014581213971,0.003051881993896236
2022-05-28,259131347,2972,5894628,156573,1.0766740621311247e-06,0.08344549125168237,0.0026917900403768506
2022-05-29,259131105,2952,5894889,156574,9.338902020272711e-07,0.08841463414634146,0.00033875338753387534
2022-05-30,259130887,2871,5895176,156586,8.412736996497063e-07,0.09996516893068617,0.0041797283176593526
2022-05-31,259130547,2959,5895423,156591,1.312079968711678e-06,0.0834741466711727,0.0016897600540723217
2022-06-01,259130179,3141,5895606,156594,1.4201356299761597e-06,0.05826170009551098,0.0009551098376313276
2022-06-02,259129875,3105,5895940,156600,1.173156896710578e-06,0.1075684380032206,0.001932367149758454
2022-06-03,259129503,3123,5896290,156604,1.4355756318492226e-06,0.11207172590457894,0.001280819724623759
2022-06-04,259129108,3254,5896548,156610,1.5243366638687306e-06,0.07928703134603565,0.0018438844499078057
2022-06-05,259128720,3433,5896752,156615,1.4973253447167107e-06,0.05942324497524031,0.0014564520827264782
2022-06-06,259128378,3498,5897022,156622,1.3198091333709503e-06,0.07718696397941681,0.002001143510577473
2022-06-07,259127860,3664,5897372,156624,1.999013151268258e-06,0.09552401746724891,0.0005458515283842794
2022-06-08,259127340,3922,5897630,156628,2.0067353757422896e-06,0.06578276389597144,0.0010198878123406426
2022-06-09,259126784,4061,5898040,156635,2.1456678133280115e-06,0.10096035459246491,0.0017237133710908644
2022-06-10,259126157,4341,5898384,156638,2.4196708169449676e-06,0.0792444137295554,0.000691085003455425
2022-06-11,259125583,4538,5898758,156641,2.215142145960941e-06,0.08241516086381666,0.0006610841780520053
2022-06-12,259125032,4734,5899111,156643,2.1263866163265924e-06,0.07456696239966203,0.0004224757076468103
2022-06-13,259124441,4926,5899501,156652,2.2807574527483494e-06,0.07917174177831912,0.0018270401948842874
2022-06-14,259123511,5298,5900049,156662,3.589022070637195e-06,0.10343525858814646,0.001887504718761797
2022-06-15,259122269,6007,5900574,156670,4.793104061619652e-06,0.08739803562510405,0.001331779590477776
2022-06-16,259121096,6668,5901083,156673,4.52684099483741e-06,0.07633473305338932,0.00044991001799640074
2022-06-17,259119876,7326,5901639,156679,4.708245538061311e-06,0.07589407589407589,0.000819000819000819
2022-06-18,259118612,8062,5902162,156684,4.878074910342604e-06,0.06487224013892334,0.0006201935003721161
2022-06-19,259117445,8594,5902794,156687,4.503749255477569e-06,0.07353967884570631,0.0003490807540144287
2022-06-20,259116265,9099,5903461,156695,4.553940293944882e-06,0.07330475876469941,0.0008792174964281789
2022-06-21,259114587,10095,5904138,156700,6.475899405848579e-06,0.06706290242694403,0.0004952947003467063
2022-06-22,259112602,11391,5904825,156702,7.660762096009518e-06,0.06031077166183829,0.00017557721007813187
2022-06-23,259110695,12148,5905971,156706,7.3597888346523096e-06,0.09433651629897925,0.00032927230819888045
2022-06-24,259108626,13214,5906969,156711,7.985068007732017e-06,0.07552595731799606,0.00037838655970939914
2022-06-25,259106795,13968,5908043,156714,7.066584263064194e-06,0.07689003436426117,0.0002147766323024055
2022-06-26,259105069,14516,5909218,156717,6.661390325790963e-06,0.08094516395701296,0.00020666850372003307
2022-06-27,259103624,14315,5910855,156726,5.5769192946525515e-06,0.11435557107928745,0.000628711142158575
2022-06-28,259101457,15310,5912025,156728,8.363519159986815e-06,0.07642064010450686,0.00013063357282821686
2022-06-29,259099308,16174,5913307,156731,8.294117095827982e-06,0.07926301471497466,0.0001854828737479906
2022-06-30,259097060,16790,5914933,156737,8.67628525001403e-06,0.09684335914234664,0.00035735556879094697
2022-07-01,259095011,16915,5916854,156740,7.908295849046665e-06,0.1135678391959799,0.00017735737511084836
2022-07-02,259093217,16915,5918643,156745,6.924148847941473e-06,0.10576411469110257,0.0002955956251847473
2022-07-03,259091603,16919,5920249,156749,6.229457000194638e-06,0.0949228677817838,0.00023642059223358353
2022-07-04,259090169,16476,5922117,156758,5.534752652077663e-06,0.11337703326050012,0.0005462490895848507
2022-07-05,259087592,17354,5923808,156766,9.946443131865613e-06,0.09744151204333294,0.00046098882102109026
